Bucket,Equity Risk Group,Concentration threshold (USD mm)
1,Emerging Markets - Large Cap,160
2,Emerging Markets - Large Cap,160
3,Emerging Markets - Large Cap,160
4,Emerging Markets - Large Cap,160
5,Developed Markets - Large Cap,1600
6,Developed Markets - Large Cap,1600
7,Developed Markets - Large Cap,1600
8,Developed Markets - Large Cap,1600
9,Emerging Markets - Small Cap,38
10,Developed Markets - Small Cap,260
11,"Indexes, Funds, ETFs, Volatility Indexes",7000
12,"Indexes, Funds, ETFs, Volatility Indexes",7000
Residual,Not classified,38
