0,0.75,0.63,0.55,0.44,0.35,0.31,0.26,0.21,0.17,0.15,0.14
0.75,0,0.79,0.68,0.51,0.40,0.33,0.28,0.22,0.17,0.15,0.15
0.63,0.79,0,0.85,0.67,0.53,0.45,0.38,0.31,0.23,0.21,0.22
0.55,0.68,0.85,0,0.82,0.70,0.61,0.53,0.44,0.36,0.35,0.33
0.44,0.51,0.67,0.82,0,0.94,0.86,0.78,0.66,0.60,0.58,0.56
0.35,0.40,0.53,0.70,0.94,0,0.96,0.90,0.80,0.75,0.72,0.71
0.31,0.33,0.45,0.61,0.86,0.96,0,0.97,0.88,0.83,0.80,0.78
0.26,0.28,0.38,0.53,0.78,0.90,0.97,0,0.95,0.91,0.88,0.87
0.21,0.22,0.31,0.44,0.66,0.80,0.88,0.95,0,0.97,0.95,0.95
0.17,0.17,0.23,0.36,0.60,0.75,0.83,0.91,0.97,0,0.98,0.98
0.15,0.15,0.21,0.35,0.58,0.72,0.80,0.88,0.95,0.98,0,0.99
0.14,0.15,0.22,0.33,0.56,0.71,0.78,0.87,0.95,0.98,0.99,0
